Date (HST),Inclination angle (degrees),Distance (km),Ht above vent elevation (m)
3/31/2008 15:13,7,2,451
4/1/2008 9:38,12.5,1.6,560
4/1/2008 15:03,9,1.6,458
4/2/2008 9:42,12,1.6,545
4/2/2008 15:07,10.5,1.8,539
4/3/2008 10:05,22,1.85,952
4/3/2008 15:15,15,1.85,701
4/4/2008 10:08,27,2.3,1377
4/4/2008 15:07,11,2,594
4/7/2008 10:11,19,2,894
4/7/2008 15:15,14.5,2.3,800
4/10/2008 10:06,13,2.2,713
4/11/2008 9:41,15,2.3,821
4/11/2008 13:11,25,2.2,1231
4/11/2008 15:06,28,2.3,1428
4/14/2008 10:15,15,2.3,821
4/14/2008 13:50,15,2.3,821
4/16/2008 15:05,17,2,816
4/17/2008 9:37,12,2,630
4/21/2008 10:23,12,2.8,800
4/22/2008 9:57,29,1.4,981
4/22/2008 14:03,18,1.8,790
4/23/2008 9:35,12,2.4,715
4/25/2008 9:37,18,1.9,822
4/28/2008 10:01,13,2.3,736
4/28/2008 15:28,17,2.6,1000
4/29/2008 9:40,10,2.7,681
4/29/2008 14:59,9,2.7,633
4/30/2008 9:36,5.5,2.7,465
4/30/2008 13:47,6,2.7,489
5/1/2008 10:02,16,2.9,1037
5/1/2008 15:06,14,2.5,828
5/4/2008 15:00,18.5,2.5,1041
5/5/2008 10:08,5,2.1,389
5/5/2008 15:07,13.5,2.7,853
5/6/2008 8:28,12,2.7,779
5/6/2008 12:27,6,1.9,405
5/7/2008 7:52,10,2.2,593
5/7/2008 12:43,22,2.6,1255
5/8/2008 8:21,8,2.5,556
5/8/2008 14:28,7.5,2.9,587
5/9/2008 9:32,12,2.8,800
5/9/2008 15:01,9.5,2.9,690
5/10/2008 10:41,10,2.8,699
5/10/2008 15:07,4,2.5,380
5/11/2008 13:42,11.5,2.9,795
5/12/2008 10:25,16,1.9,750
5/12/2008 15:01,15,2.2,794
5/13/2008 9:40,28.5,1.9,1237
5/13/2008 10:00,26,3.4,1863
5/13/2008 15:12,15,1.8,687
5/14/2008 9:43,29,1.7,1147
5/14/2008 15:09,30,1.6,1129
5/16/2008 7:00,31,1.9,1347
5/16/2008 8:54,40,1.8,1715
5/19/2008 8:45,10,2.05,566
5/19/2008 15:00,17,2.44,951
5/20/2008 8:45,9,2.17,549
5/20/2008 15:00,15,2.07,760
5/21/2008 8:45,32,1.97,1433
5/27/2008 11:22,22.5,2.25,1139
5/29/2008 9:00,13,2.38,753
5/29/2008 15:30,15.5,2.17,807
6/2/2008 10:13,11,2.44,679
6/2/2008 15:00,14,2.88,923
6/3/2008 11:16,21,2.47,1153
6/4/2008 10:28,28,2.38,1472
6/4/2008 16:08,15,2.86,971
6/5/2008 10:13,22,2.28,1126
6/5/2008 15:28,16.5,2.57,965
6/9/2008 10:11,12.5,2.2,692
6/9/2008 15:58,11,2.67,724
6/10/2008 10:21,15,2.31,824
6/18/2008 13:37,23.5,2.3,1204
6/19/2008 8:45,19.5,1.9,878
6/23/2008 10:44,9,2.32,573
6/23/2008 15:04,8.5,2.6,594
6/24/2008 8:42,10,2.19,592
6/24/2008 16:45,9,2.24,560
6/25/2008 9:13,9,2.37,580
6/26/2008 9:07,13,2.16,704
6/26/2008 15:32,8,2.46,550
6/27/2008 9:57,21,2.04,987
6/30/2008 10:30,33.5,1.51,1204
7/1/2008 9:56,11,2.36,664
7/1/2008 15:28,21.5,2.09,1029
7/2/2008 8:43,24,1.93,1062
7/7/2008 9:49,21,2,973
7/7/2008 16:37,22.5,2.45,1218
7/8/2008 9:17,28,2.01,1271
7/10/2008 8:00,13,2.33,744
7/10/2008 16:47,24.5,2.2,1209
7/11/2008 8:47,13,2.31,737
7/14/2008 8:54,23,2.09,1092
7/16/2008 10:32,23,2.79,1387
7/17/2008 10:06,11,2.74,737
7/17/2008 17:22,14,2.81,906
7/18/2008 9:50,14,2.44,813
7/18/2008 16:21,9.5,2.86,684
7/21/2008 10:11,24.5,2.18,1199
7/22/2008 9:28,12,2.7,779
7/25/2008 10:09,20,2.32,1048
7/25/2008 16:13,13,2.32,739
7/28/2008 11:04,10,2.87,711
7/29/2008 13:14,9,2.42,588
7/30/2008 9:21,14,2.34,789
7/31/2008 10:01,9,2.19,552
7/31/2008 17:00,11.5,2.69,752
8/1/2008 9:34,28,2.38,1469
8/29/2008 9:52,14,2.16,743
8/29/2008 14:21,18,2,855
9/2/2008 13:12,15.5,2.06,776
9/2/2008 16:39,16.5,2.14,840
9/3/2008 9:20,17.5,1.9,805
9/3/2008 13:56,22,2.02,1020
9/4/2008 9:18,14,2.08,724
9/4/2008 15:44,15.5,2.18,809
9/5/2008 11:02,13,1.97,660
9/5/2008 15:40,9.5,1.52,459
9/9/2008 8:14,15.5,2.1,788
9/9/2008 15:16,18,1.78,783
9/10/2008 8:19,25.5,1.82,1072
9/10/2008 14:57,8.5,1.68,456
9/11/2008 8:33,19,1.93,871
9/11/2008 15:27,17,1.55,680
9/12/2008 10:39,16,1.54,646
9/12/2008 14:18,13.5,1.33,525
9/15/2008 8:38,23,1.8,969
9/15/2008 16:56,4,1.45,306
9/16/2008 15:10,9,1.91,508
